source_ip,request_rate,failed_login_attempts,status_code,request_interval,network_traffic_volume,session_duration,data_transfer_size,cpu_usage,geographic_location,request_method,request_rate_norm,request_interval_norm,network_traffic_volume_norm,session_duration_norm,data_transfer_size_norm,cpu_usage_norm,failed_login_attempts_norm
1.234.99.77,1,0,200,0.0,393,0.0,393,21.52,Unknown,GET,0.0,0.0,0.0006949024572670353,0.0,0.0006949024572670353,0.2699448068238836,0.0
10.1.48.115,1,0,200,0.0,39171,0.0,39171,14.8,Unknown,GET,0.0,0.0,0.0692621479735548,0.0,0.0692621479735548,0.18564977420973408,0.0
10.114.1.2,1,0,200,0.0,2212,0.0,2212,23.75,Unknown,GET,0.0,0.0,0.0039112575966276895,0.0,0.0039112575966276895,0.2979177119919719,0.0
10.116.12.43,1,0,200,0.0,1436,0.0,1436,24.7,Unknown,GET,0.0,0.0,0.002539134678461737,0.0,0.002539134678461737,0.3098344204716508,0.0
10.116.12.43,1,0,200,193246.0,185207,0.0,185207,10.24,Unknown,GET,0.0,0.5126296522269677,0.32748295013500206,0.0,0.32748295013500206,0.12844957350727546,0.0
10.122.122.244,1,0,200,0.0,18792,0.0,18792,13.49,Unknown,GET,0.0,0.0,0.033228007574967244,0.0,0.033228007574967244,0.16921726041144006,0.0
10.122.122.244,1,0,200,2114.0,2445,0.0,2445,20.64,Unknown,GET,0.0,0.005607873305568082,0.004323248112004838,0.0,0.004323248112004838,0.25890617160060214,0.0
10.145.254.161,1,0,200,0.0,4120,0.0,4120,18.42,Unknown,GET,0.0,0.0,0.007284982503664594,0.0,0.007284982503664594,0.23105870546914203,0.0
10.181.13.10,1,0,200,0.0,3881,0.0,3881,19.92,Unknown,GET,0.0,0.0,0.006862382790466575,0.0,0.006862382790466575,0.24987456096337182,0.0
10.244.252.231,1,0,200,0.0,3015,0.0,3015,15.73,Unknown,GET,0.0,0.0,0.005331121904987561,0.0,0.005331121904987561,0.19731560461615655,0.0
10.249.64.179,1,0,200,0.0,2111,846.0,2111,24.4,Unknown,GET,0.0,0.0,0.0037326694333096985,0.47368421052631576,0.0037326694333096985,0.3060712493728048,0.0
10.249.64.179,2,0,200,423.0,3520,846.0,3520,43.89,Unknown,GET,0.3333333333333333,0.0011221052073109266,0.006224062721577517,0.47368421052631576,0.006224062721577517,0.5505519317611641,0.0
10.30.1.160,1,0,200,0.0,16988,0.0,16988,20.33,Unknown,GET,0.0,0.0,0.030038175430158767,0.0,0.030038175430158767,0.25501756146512794,0.0
10.30.1.160,1,0,200,988.0,2698,0.0,2698,25.64,Unknown,GET,0.0,0.002620898214712046,0.004770602620118222,0.0,0.004770602620118222,0.3216256899147015,0.0
10.30.1.215,1,0,200,0.0,3742,0.0,3742,22.34,Unknown,GET,0.0,0.0,0.006616603040949735,0.0,0.006616603040949735,0.2802308078273959,0.0
10.30.175.186,2,0,200,31.5,73604,63.0,73604,35.7,Unknown,GET,0.3333333333333333,8.35610260763456e-05,0.13014656606789532,0.03527435610302351,0.13014656606789532,0.44781736076266937,0.0
10.30.2.70,1,0,200,0.0,101518,0.0,101518,21.84,Unknown,GET,0.0,0.0,0.17950409072985976,0.0,0.17950409072985976,0.27395885599598596,0.0
10.57.10.219,1,0,200,0.0,3895,0.0,3895,15.21,Unknown,GET,0.0,0.0,0.00688713758538194,0.0,0.00688713758538194,0.19079277471149023,0.0
10.57.11.56,1,0,200,0.0,56076,0.0,56076,24.39,Unknown,GET,0.0,0.0,0.09915356283385819,0.0,0.09915356283385819,0.3059458103361766,0.0
10.65.253.5,1,0,200,0.0,1980,0.0,1980,19.75,Unknown,GET,0.0,0.0,0.0035010352808873533,0.0,0.0035010352808873533,0.2477420973406924,0.0
10.65.253.5,1,0,200,94043.0,11,0.0,11,19.08,Unknown,GET,0.0,0.24947078016818314,1.945019600492974e-05,0.0,1.945019600492974e-05,0.2393376818866031,0.0
10.75.10.31,1,0,200,0.0,3573,0.0,3573,16.6,Unknown,GET,0.0,0.0,0.0063177773023285425,0.0,0.0063177773023285425,0.20822880080280987,0.0
10.75.20.36,1,0,200,0.0,2033,0.0,2033,26.11,Unknown,GET,0.0,0.0,0.003594749861638378,0.0,0.003594749861638378,0.3275213246362268,0.0
10.75.20.36,1,0,200,429.0,2894,0.0,2894,19.23,Unknown,GET,0.0,0.0011380215932302305,0.005117169748933333,0.0,0.005117169748933333,0.2412192674360261,0.0
10.75.35.202,1,0,499,0.0,0,0.0,0,17.86,Unknown,GET,0.0,0.0,0.0,0.0,0.0,0.22403411941796286,0.0
10.75.35.210,1,0,200,0.0,11,0.0,11,18.24,Unknown,GET,0.0,0.0,1.945019600492974e-05,0.0,1.945019600492974e-05,0.2288008028098344,0.0
10.75.39.50,1,0,200,0.0,5032,0.0,5032,22.66,Unknown,GET,0.0,0.0,0.00889758057243695,0.0,0.00889758057243695,0.28424485699949825,0.0
10.76.7.254,1,0,200,0.0,3863,0.0,3863,21.83,Unknown,GET,0.0,0.0,0.006830555197003963,0.0,0.006830555197003963,0.27383341695935776,0.0
102.129.224.2,1,0,200,0.0,3045,0.0,3045,22.06,Unknown,GET,0.0,0.0,0.005384167894091915,0.0,0.005384167894091915,0.2767185148018063,0.0
102.165.34.250,1,0,200,0.0,6019,0.0,6019,22.15,Unknown,GET,0.0,0.0,0.010642793613970192,0.0,0.010642793613970192,0.2778474661314601,0.0
103.208.220.226,1,0,200,0.0,40276,0.0,40276,30.71,Unknown,GET,0.0,0.0,0.07121600857223184,0.0,0.07121600857223184,0.3852232814851982,0.0
103.231.138.17,1,0,200,0.0,10554,0.0,10554,17.97,Unknown,GET,0.0,0.0,0.01866157896691168,0.0,0.01866157896691168,0.22541394882087304,0.0
104.156.210.196,1,0,200,0.0,7837,0.0,7837,17.44,Unknown,GET,0.0,0.0,0.013857380553694034,0.0,0.013857380553694034,0.21876567987957854,0.0
104.156.210.198,1,0,200,0.0,2206,0.0,2206,15.93,Unknown,GET,0.0,0.0,0.0039006483988068188,0.0,0.0039006483988068188,0.19982438534872052,0.0
104.156.210.198,1,0,200,60387.0,84499,0.0,84499,23.08,Unknown,GET,0.0,0.16019046608483434,0.14941110111095984,0.0,0.14941110111095984,0.28951329653788255,0.0
104.173.6.32,1,0,200,0.0,9507,0.0,9507,25.64,Unknown,GET,0.0,0.0,0.016810273947169732,0.0,0.016810273947169732,0.3216256899147015,0.0
104.194.24.117,1,0,200,0.0,4300,0.0,4300,19.43,Unknown,GET,0.0,0.0,0.007603258438290717,0.0,0.007603258438290717,0.24372804816859006,0.0
104.194.24.123,1,0,200,0.0,90970,0.0,90970,15.8,Unknown,GET,0.0,0.0,0.16085312096076895,0.0,0.16085312096076895,0.19819367787255396,0.0
104.194.24.15,1,0,200,0.0,18345,0.0,18345,15.88,Unknown,GET,0.0,0.0,0.03243762233731237,0.0,0.03243762233731237,0.19919719016557955,0.0
104.194.24.157,1,0,200,0.0,5752,0.0,5752,23.25,Unknown,GET,0.0,0.0,0.010170684310941442,0.0,0.010170684310941442,0.291645760160562,0.0
104.194.24.174,1,0,200,0.0,3131,0.0,3131,23.72,Unknown,GET,0.0,0.0,0.005536233062857729,0.0,0.005536233062857729,0.2975413948820873,0.0
104.194.24.245,1,0,200,0.0,4631,0.0,4631,22.72,Unknown,GET,0.0,0.0,0.008188532518075421,0.0,0.008188532518075421,0.28499749121926743,0.0
104.194.24.43,1,0,304,0.0,0,0.0,0,16.67,Unknown,GET,0.0,0.0,0.0,0.0,0.0,0.20910687405920725,0.0
104.194.24.43,1,0,200,301392.0,4818,0.0,4818,21.16,Unknown,GET,0.0,0.7995118974984747,0.008519185850159226,0.0,0.008519185850159226,0.26542900150526844,0.0
104.194.24.81,1,0,200,0.0,7370,0.0,7370,20.58,Unknown,GET,0.0,0.0,0.013031631323302926,0.0,0.013031631323302926,0.2581535373808329,0.0
104.194.25.102,1,0,200,0.0,4033,0.0,4033,21.09,Unknown,GET,0.0,0.0,0.007131149135261967,0.0,0.007131149135261967,0.26455092824887105,0.0
104.194.25.111,1,0,200,0.0,7814,0.0,7814,24.36,Unknown,GET,0.0,0.0,0.013816711962047363,0.0,0.013816711962047363,0.305569493226292,0.0
104.194.25.149,1,0,200,0.0,3032,0.0,3032,21.12,Unknown,GET,0.0,0.0,0.005361181298813361,0.0,0.005361181298813361,0.26492724535875567,0.0
104.194.25.151,1,0,200,0.0,713,0.0,713,23.39,Unknown,GET,0.0,0.0,0.0012607263410468095,0.0,0.0012607263410468095,0.29340190667335675,0.0
104.194.25.160,1,0,200,0.0,12625,0.0,12625,20.34,Unknown,GET,0.0,0.0,0.02232352041474891,0.0,0.02232352041474891,0.25514300050175615,0.0
104.194.25.165,1,0,200,0.0,56076,0.0,56076,21.45,Unknown,GET,0.0,0.0,0.09915356283385819,0.0,0.09915356283385819,0.26906673356748617,0.0
104.194.25.178,2,0,200,13.0,56087,26.0,56087,43.16,Unknown,GET,0.3333333333333333,3.4485502825158504e-05,0.09917301302986313,0.014557670772676373,0.09917301302986313,0.5413948820873056,0.0
104.194.25.219,1,0,200,0.0,19126,0.0,19126,12.71,Unknown,GET,0.0,0.0,0.03381858625366238,0.0,0.03381858625366238,0.15943301555444056,0.0
104.194.25.224,1,0,200,0.0,2516,0.0,2516,18.4,Unknown,GET,0.0,0.0,0.004448790286218475,0.0,0.004448790286218475,0.2308078273958856,0.0
